Commit,High Confidence,Medium Confidence,Low Confidence,High Severity,Medium Severity,Low Severity,Unique CWE IDs
07c8f19bfd6128c7cbb9c61c41b43a9eeca1b435,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
0e59442f6cce9442c1dcaf8515df7182312fa6cd,1697,33,3,30,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
0f2ae2b9330604247f553f41d310e7c0191275ef,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
111e5bd3129deee54ff62b0d13ed7e5739c27108,1699,33,3,31,63,1641,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
176fdfa0002360670f698d3828cfff11f97349f0,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
18ffe1eaf6c2eeffc898f4e8a590c062c40b30dc,1722,34,3,31,63,1665,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
19610a9e46e0989054ecd0f6be2fcb981013d8eb,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
1af8f95785b85d0937153ee63d504c0b51934d80,1697,33,3,30,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
1d610e44b396d11113bb6a5d168cc5e996a6dfb9,1699,33,3,31,63,1641,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
224c639bf9f37b99bc66a879fbbc516f59857967,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
227838c4727ba780e6fb4a7c372ae62357cac4c6,1699,33,3,31,63,1641,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
273123f6b8fc0d871553f707e515816777c60e24,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
28d5a4d71824ff5823ae310e3fd014b48b33d583,1699,33,3,31,63,1641,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
29a94bd102805eafcea94a185808cd878cd3f5ad,1698,33,3,31,63,1640,20; 22; 78; 79; 94; 259; 327; 330; 377; 502; 605; 703
