Commit,High Confidence,Medium Confidence,Low Confidence,High Severity,Medium Severity,Low Severity,Unique CWE IDs
01353d3b4afe3afa838f8f5c08e5f30a5b50cb05,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
0a7f662aa70d39b6c3b5c804be00af5731292550,1164,10,118,27,150,1115,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
0bff2d94e624651d02756e37e50af3cc1569abcf,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
0e322af87745eff34caffe4df68456ebc20d9068,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
0ec2780c291107b6686996e4b38f3d63e076eda7,1164,10,118,27,150,1115,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
11f63a330bc7b9026086e3d259f400f9c702b542,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
12862617df7391a87f30d5bc30fffbcfd8fa3761,1152,10,112,27,143,1104,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
13d892bdbe9a2aa374959a166e8067c35253705d,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
1447bccc057e7fbffdfecd75cd4922702489a14b,1159,10,118,27,149,1111,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
15849947ec4b8b7c3c136a47e950499edfd36921,1153,10,112,27,143,1105,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
15e1f17bb6f3f978787dd23da0268388148bc3d5,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
1604e20fc87ce212cf3a02474a6d7509b640cbbb,1173,10,118,27,150,1124,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
173890a48e9f064f0c034edf45109279d1d90a94,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
242d3113c09d10ba9a11dbcc05e0310a1e7568af,1159,10,118,27,149,1111,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
25939d8784dc8bec784b8129152efa4443daa82f,1159,10,118,27,149,1111,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
26664fa57853e97717b0a72244d35eeadaac48d9,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
28855fd43a68bf26fec23aa9b548239e13255edf,1159,10,118,27,149,1111,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
29fc8d1e9346a29b91513547d626e23f4c36e557,1152,10,112,27,143,1104,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
2d5f54779ad174035c5437b3b3c1146b0eaf60fe,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
2daa7b52a78984ab5e66358052fc8dfe93e251bd,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
2e1452234d8a3240aa27fc5fa5db93d53d799c25,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
2ee5b0b01c9e7c14217a536886b337d6f08b9aac,1152,10,112,27,143,1104,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
314e7c9c701ddbeb6c26ae357a132045709d47f1,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
3fd309a5c14e4cfbd96bea6c8e71b4958fe090bb,1155,10,112,27,143,1107,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
3ff3ff21dd45957c9e143cd500291959bb15f690,1161,10,118,27,150,1112,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
421b1f175766065e2feb569990c528df16c2874f,1159,10,118,27,149,1111,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
42a3b5cce8336c52ad7102a3a493576ba40fb4fa,1152,10,112,27,143,1104,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
4585a7fbdaaebf19d213eb16326afae2e9382abe,1152,10,112,27,143,1104,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
4e383642a9ebb82a67eaeed199d0fbbb31991e3c,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
507409661335bd3dd8a7e39f04d07b42e519becc,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
541aa80ca3d0ee771611bd155a5172efaa26d9da,1164,10,118,27,150,1115,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
555b870eb19d497ddb67042645420083ec8efb02,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
58cea7a7282999adafdc19a4e82e2d09207ab568,1159,10,118,27,149,1111,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
5984296b6a4cea1b20a6747127c335d95595e7d9,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
5d31ddbf7b3f512dd3c61952d2c16e980a2b7dc1,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
5f1c3c22ff7c7bb89a4e017e3f336cbc88e189c3,1164,10,118,27,150,1115,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
5fc10bf1f5185f330f8471c738ce753b3e231008,1159,10,118,27,149,1111,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
60047ade64b0b882cbc94e047198818ab580911e,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
60389df6d69ce833164696dcf36cbb43336d3426,1160,10,118,27,149,1112,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
6106a63eb6c0fa490efa73d44388ac25b1b08af4,1159,10,118,27,149,1111,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
6badbac6e0d6b5a53872f26401761ad37a9002b8,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
6c8d9b1d0fd6bef2e7b617bcb1574e69c4fc8780,1152,10,112,27,143,1104,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
818776862239a7dd97d39157ec3a202c35af122c,1152,10,112,27,143,1104,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
83e67c448567cb78490e709925cc335567f656dd,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
877892e67e22e25bd3cb0dec780bf45c0e67026e,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
889910c77a9618dc59dd800c17913e2b1644cee3,1157,10,118,27,149,1109,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
88dce9d854797c05d0ff296b70e0430535ef8aaf,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
89cde235bec9374273281c1b4c9277c409246a6c,1153,10,112,27,143,1105,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
8c36da656df15111c423975381f523e0b9db7326,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
8fa4302322f1a34053683b7f4c0d2ee5ef0ebd64,1159,10,118,27,149,1111,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
92075b330a30b9883f466a43d3f7566ab849f91b,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
92f10cec5b3223e90c186b7a04306564cde050dc,1174,10,118,27,150,1125,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
92f9e431c99d5e0776a00c10a90dfdf11cd45ba0,1153,10,112,27,143,1105,20; 22; 78; 259; 327; 330; 377; 400; 502; 703
