Commit,High Confidence,Medium Confidence,Low Confidence,High Severity,Medium Severity,Low Severity,Unique CWE IDs
02ed71d8877d1f3f270a9085c3cdb7fc7e917b8a,5263,142,5,143,225,5042,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
044c3f69edd1bf926408649361ada7f2146db04e,4991,142,5,143,225,4770,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
0a80871c3a2b353d870e337715bbbeedf6bc216e,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
0bbfca6c1d1327a9919f2c0efc0c75aadb5b0033,6531,159,5,143,225,6327,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
0c9200094e0764023cd34e72d4012f1c0450d8ad,3553,142,5,141,225,3334,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
0d2d2892badb2b6f47c9b597564510871c7f1518,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
14219b1fca86f2229d2b69455bdbb4eb952cf504,3050,142,5,141,225,2831,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
1469b2739ea566a57e0b5f8e6bb104fd19460d24,4991,142,5,143,225,4770,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
16b998f9ca8b928b03f9f8be659ac01d4f2f623f,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
176ae348c57a536d661ca1b469035e7e1ccbca6a,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
1843a4f75358a76fe8e4624f8f4dc26084d19b85,4127,142,5,143,225,3906,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
1a0dfbd32e8d96299c4f0f3d16cb2d52a73de339,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
1c1e83895c15dc491c6c133982cde22d778dcae6,3050,142,5,141,225,2831,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
1e4c81e9dce7dfc06c8ab1b89d85da32f0cb54de,3043,142,5,141,225,2824,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
1fc91bb46262118c9ff7aa2b4719d880f727699f,3050,142,5,141,225,2831,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
200d76afa96a78899faf9e2c30ef45273b71c600,3049,142,5,141,225,2830,20; 22; 78; 89; 259; 284; 295; 319; 327; 330; 377; 502; 605; 703; 732
